80,The Post,Fox,29713238,2819,526011,9,22-Dec
81,Three Billboards Outside Ebbing Missouri,FoxS,29572630,1620,322168,4,10-Nov
82,The Nut Job 2: Nutty by Nature,ORF,28370522,4003,8342311,4003,11-Aug
83,Rings,Par.,27793018,2931,13002632,2931,3-Feb
84,Logan Lucky,BST,27780977,3031,7600036,3031,18-Aug
85,The Shape of Water,FoxS,27482485,804,166564,2,1-Dec
86,Home Again,ORF,27020284,3036,8567881,2940,8-Sep
87,Resident Evil: The Final Chapter,SGem,26830068,3104,13601682,3104,27-Jan
88,The House,WB (NL),25584504,3134,8724795,3134,30-Jun
89,Gifted,FoxS,24801212,2215,446380,56,7-Apr
90,Downsizing,Par.,24190954,2668,4954287,2668,22-Dec
91,All the Money in the World,TriS,23469048,2123,5584684,2074,25-Dec
92,The Bye Bye Man,STX,22395806,2220,13501349,2220,13-Jan
93,Victoria and Abdul,Focus,22245070,1060,158845,4,22-Sep
94,Rough Night,Sony,22105643,3162,8004283,3162,16-Jun
95,Molly's Game,STX,21931887,1708,2349967,271,25-Dec
96,My Little Pony: The Movie,LGF,21885107,2528,8885899,2528,6-Oct
97,Leap!,Wein.,21858070,2705,4730038,2575,25-Aug
98,Sleepless,ORF,20783704,1803,8344128,1803,13-Jan
99,Diary of a Wimpy Kid: The Long Haul,Fox,20738724,3174,7126084,3157,19-May
100,The Disaster Artist,A24,20508431,1010,1211345,19,1-Dec
